id,title,description,availability,condition,price,sale_price,link,image_link,brand,gtin,mpn,quantity_to_sell_on_facebook
28497,Gorro N1,"Gorro de entrenamiento diseñado para porteros que no frenan cuando baja la temperatura. 
 Entrenar en invierno o en horario nocturno exige algo más que actitud. Mantener la temperatura corporal es clave para conservar la concentración, la activación muscular y el rendimiento bajo palos.",in stock,new,12.90 EUR,,https://n1gloves.com/es/inicio/28497-gorro-n1,https://n1gloves.com/24617-large_default/gorro-n1.jpg,N1 Goalkeeper,,AC-BEABLA-1049,21
28501,Braga Cuello N1,"Braga de cuello de entrenamiento diseñada para porteros que rinden incluso en las condiciones más exigentes. 
  
 El frío afecta directamente a la activación muscular y a la concentración. Mantener la zona cervical protegida ayuda a conservar la temperatura corporal y a entrenar al máximo nivel durante sesiones nocturnas o en climas fríos.",in stock,new,12.90 EUR,,https://n1gloves.com/es/inicio/28501-braga-cuello-n1,https://n1gloves.com/24632-large_default/braga-cuello-n1.jpg,N1 Goalkeeper,,AC-THEBLA-1025,29
28506,Gym Sack Black Neon,"Llega a tus partidos y entrenamientos con la seguridad de llevar todo lo que necesitas. 
 La  Gym Sack N1  es espaciosa, ligera y resistente, perfecta para guardar guantes, botas y todo tu material deportivo. Su diseño práctico te permite organizar tu equipación de forma cómoda y eficiente. 
  
 Composición: 100% Poliéster",in stock,new,9.90 EUR,,https://n1gloves.com/es/inicio/28506-gym-sack-black-neon-8435768047455,https://n1gloves.com/24639-large_default/gym-sack-black-neon.jpg,N1 Goalkeeper,8435768047455,AC-0232,10
28507,Gym Sack Neon,"Llega a tus partidos y entrenamientos con la seguridad de llevar todo lo que necesitas. 
 La  Gym Sack N1  es espaciosa, ligera y resistente, perfecta para guardar guantes, botas y todo tu material deportivo. Su diseño práctico te permite organizar tu equipación de forma cómoda y eficiente. 
  
 Composición: 100% Poliéster",in stock,new,9.90 EUR,,https://n1gloves.com/es/inicio/28507-gym-sack-neon-8435768047493,https://n1gloves.com/24643-large_default/gym-sack-neon.jpg,N1 Goalkeeper,8435768047493,AC-0236,12
28508,Gym Sack White,"Llega a tus partidos y entrenamientos con la seguridad de llevar todo lo que necesitas. 
 La  Gym Sack N1  es espaciosa, ligera y resistente, perfecta para guardar guantes, botas y todo tu material deportivo. Su diseño práctico te permite organizar tu equipación de forma cómoda y eficiente. 
  
 Composición: 100% Poliéster",in stock,new,9.90 EUR,,https://n1gloves.com/es/inicio/28508-gym-sack-white-8435768047462,https://n1gloves.com/24647-large_default/gym-sack-white.jpg,N1 Goalkeeper,8435768047462,AC-0233,11
28509,Gym Sack Orange,"Llega a tus partidos y entrenamientos con la seguridad de llevar todo lo que necesitas. 
 La  Gym Sack N1  es espaciosa, ligera y resistente, perfecta para guardar guantes, botas y todo tu material deportivo. Su diseño práctico te permite organizar tu equipación de forma cómoda y eficiente. 
  
 Composición: 100% Poliéster",in stock,new,9.90 EUR,,https://n1gloves.com/es/inicio/28509-gym-sack-orange-8435768047509,https://n1gloves.com/24652-large_default/gym-sack-orange.jpg,N1 Goalkeeper,8435768047509,AC-0237,12
28510,Gym Sack Green,"Llega a tus partidos y entrenamientos con la seguridad de llevar todo lo que necesitas. 
 La  Gym Sack N1  es espaciosa, ligera y resistente, perfecta para guardar guantes, botas y todo tu material deportivo. Su diseño práctico te permite organizar tu equipación de forma cómoda y eficiente. 
  
 Composición: 100% Poliéster",in stock,new,9.90 EUR,,https://n1gloves.com/es/inicio/28510-gym-sack-green-8435768047516,https://n1gloves.com/24656-large_default/gym-sack-green.jpg,N1 Goalkeeper,8435768047516,AC-0238,12
28511,Gym Sack Pink,"Llega a tus partidos y entrenamientos con la seguridad de llevar todo lo que necesitas. 
 La  Gym Sack N1  es espaciosa, ligera y resistente, perfecta para guardar guantes, botas y todo tu material deportivo. Su diseño práctico te permite organizar tu equipación de forma cómoda y eficiente. 
  
 Composición: 100% Poliéster",in stock,new,9.90 EUR,,https://n1gloves.com/es/inicio/28511-gym-sack-pink-8435768047486,https://n1gloves.com/24659-large_default/gym-sack-pink.jpg,N1 Goalkeeper,8435768047486,AC-0235,12
28512,Gym Sack Grey,"Llega a tus partidos y entrenamientos con la seguridad de llevar todo lo que necesitas. 
 La  Gym Sack N1  es espaciosa, ligera y resistente, perfecta para guardar guantes, botas y todo tu material deportivo. Su diseño práctico te permite organizar tu equipación de forma cómoda y eficiente. 
  
 Composición: 100% Poliéster",in stock,new,9.90 EUR,,https://n1gloves.com/es/inicio/28512-gym-sack-grey-8435768047479,https://n1gloves.com/24672-large_default/gym-sack-grey.jpg,N1 Goalkeeper,8435768047479,AC-0234,10
28513,Mochila de entreno N1,"La mochila  N1 Backpack  está diseñada para acompañarte en cada entrenamiento, partido o desplazamiento.   
 Su distribución inteligente permite organizar todo tu material de forma rápida y cómoda, con un amplio compartimento principal, bolsillo frontal de acceso rápido y bolsillos laterales de malla para llevar siempre a mano lo que más utilizas. 
 Ligera, resistente y cómoda, es la mochila perfecta para porteros y jugadores que necesitan llevar su equipación siempre lista. 
  Compartimentos:  
 
 1 compartimento principal de gran capacidad. 
 1 bolsillo frontal con cremallera. 
 2 bolsillos laterales de malla. 
 
  Material:  Poliéster de alta resistencia. 
  
  Color:  Negro.",in stock,new,34.90 EUR,,https://n1gloves.com/es/inicio/28513-mochila-de-entreno-n1-8435768021585,https://n1gloves.com/24668-large_default/mochila-de-entreno-n1.jpg,N1 Goalkeeper,8435768021585,AC-0018,41
28515,Macuto N1 Pro,Macuto N1 Pro,in stock,new,39.90 EUR,,https://n1gloves.com/es/inicio/28515-macuto-n1-pro-8435768021592,https://n1gloves.com/24677-large_default/macuto-n1-pro.jpg,N1 Goalkeeper,8435768021592,AC-0019,48
28983,Calcetines antideslizantes N1 - White,"Calcetines técnicos antideslizantes con grip. 
 Mantienen el pie firme dentro de la bota, evitando deslizamientos internos y mejorando la estabilidad en cada acción. 
 Ideales para jugadores que buscan mayor control, precisión y seguridad en el juego.  Composición: 80% Poliéster / 10% Poliamida / 10% Elastano. Zonas grip: 100% PVC.",in stock,new,12.90 EUR,,https://n1gloves.com/es/inicio/28983--calcetines-antideslizantes-n1-white,https://n1gloves.com/25159-large_default/-calcetines-antideslizantes-n1-white.jpg,N1 Goalkeeper,,AC-GRIWHI-0138,793
28992,Calcetines antideslizantes N1 - Black,"Calcetines técnicos antideslizantes con grip. 
 Mantienen el pie firme dentro de la bota, evitando deslizamientos internos y mejorando la estabilidad en cada acción. 
 Ideales para jugadores que buscan mayor control, precisión y seguridad en el juego.  Composición: 40% Algodón/ 40% Nailon/ 10% Elastano/ 10% Poliester Zonas grip: 100% PVC.",in stock,new,12.90 EUR,,https://n1gloves.com/es/inicio/28992-calcetines-antideslizantes-n1-black,https://n1gloves.com/25180-large_default/calcetines-antideslizantes-n1-black.jpg,N1 Goalkeeper,,AC-GRIBLA-0139,960
28993,Calcetines antideslizantes N1- Yellow,"Calcetines técnicos antideslizantes con grip. 
 Mantienen el pie firme dentro de la bota, evitando deslizamientos internos y mejorando la estabilidad en cada acción. 
 Ideales para jugadores que buscan mayor control, precisión y seguridad en el juego.  Composición: 40% Algodón/ 40% Nailon/ 10% Elastano/ 10% Poliester Zonas grip: 100% PVC.",in stock,new,12.90 EUR,,https://n1gloves.com/es/inicio/28993-calcetines-antideslizantes-n1-yellow,https://n1gloves.com/25188-large_default/calcetines-antideslizantes-n1-yellow.jpg,N1 Goalkeeper,,AC-GRIYEL-0497,301
28995,Calcetines antideslizantes N1 - Red,"Calcetines técnicos antideslizantes con grip. 
 Mantienen el pie firme dentro de la bota, evitando deslizamientos internos y mejorando la estabilidad en cada acción. 
 Ideales para jugadores que buscan mayor control, precisión y seguridad en el juego.  Composición: 40% Algodón/ 40% Nailon/ 10% Elastano/ 10% Poliester Zonas grip: 100% PVC.",in stock,new,12.90 EUR,,https://n1gloves.com/es/inicio/28995-calcetines-antideslizantes-n1-red,https://n1gloves.com/25193-large_default/calcetines-antideslizantes-n1-red.jpg,N1 Goalkeeper,,AC-GRIRED-0498,306
28997,Calcetines antideslizantes N1 - Green,"Calcetines técnicos antideslizantes con grip. 
 Mantienen el pie firme dentro de la bota, evitando deslizamientos internos y mejorando la estabilidad en cada acción. 
 Ideales para jugadores que buscan mayor control, precisión y seguridad en el juego.  Composición: 40% Algodón/ 40% Nailon/ 10% Elastano/ 10% Poliester Zonas grip: 100% PVC.",in stock,new,12.90 EUR,,https://n1gloves.com/es/inicio/28997-calcetines-antideslizantes-n1-green,https://n1gloves.com/25200-large_default/calcetines-antideslizantes-n1-green.jpg,N1 Goalkeeper,,AC-GRIGRE-0499,297
28998,Calcetines antideslizantes N1 - Orange,"Calcetines técnicos antideslizantes con grip. 
 Mantienen el pie firme dentro de la bota, evitando deslizamientos internos y mejorando la estabilidad en cada acción. 
 Ideales para jugadores que buscan mayor control, precisión y seguridad en el juego.  Composición: 40% Algodón/ 40% Nailon/ 10% Elastano/ 10% Poliester Zonas grip: 100% PVC.",in stock,new,12.90 EUR,,https://n1gloves.com/es/inicio/28998-calcetines-antideslizantes-n1-orange,https://n1gloves.com/25207-large_default/calcetines-antideslizantes-n1-orange.jpg,N1 Goalkeeper,,AC-GRIORA-0500,301
28999,Calcetines antideslizantes N1 - Blue,"Calcetines técnicos antideslizantes con grip. 
 Mantienen el pie firme dentro de la bota, evitando deslizamientos internos y mejorando la estabilidad en cada acción. 
 Ideales para jugadores que buscan mayor control, precisión y seguridad en el juego.  Composición: 40% Algodón/ 40% Nylon/ 10% Elastane/ 10% Polyester Zonas grip: 100% PVC.",in stock,new,12.90 EUR,,https://n1gloves.com/es/inicio/28999-calcetines-antideslizantes-n1-blue,https://n1gloves.com/25212-large_default/calcetines-antideslizantes-n1-blue.jpg,N1 Goalkeeper,,AC-GRIBLU-0501,301
29945,Match KIT Collection - España V1,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29945-match-kit-collection-espana-v1,https://n1gloves.com/26493-large_default/match-kit-collection-espana-v1.jpg,N1 Goalkeeper,,CL-FOOWC2-1102,4
