id,title,description,availability,condition,price,sale_price,link,image_link,brand,gtin,mpn,quantity_to_sell_on_facebook
18883,Luvas de Guarda-Redes Sirius 2.0 Pink UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/pt/inicio/18883-luvas-de-guarda-redes-sirius-20-pink-ugt-ii,https://n1gloves.com/14958-large_default/luvas-de-guarda-redes-sirius-20-pink-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRPIN-0369,56
18911,Luvas de Guarda-Redes Sirius 2.0 Neon UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/pt/inicio/18911-luvas-de-guarda-redes-sirius-20-neon-ugt-ii,https://n1gloves.com/15016-large_default/luvas-de-guarda-redes-sirius-20-neon-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRNEO-0370,48
20003,Boneco Inflável N1 - 205 cm,"Boneco inflável de treino para guarda-redes N1.    Ideal tanto para sessões de treino específicas para guarda-redes simulando um atacante ou defensor que serve como oposição no exercício, como para treinos de equipa em tarefas como cruzamentos e finalizações. A sua alta resistência, graças ao material de que é feito, permite-lhe utilizá-lo em exercícios de coordenação, livres diretos, treinos tácticos e trabalho de habilidades.     *Produto não compatível com descontos",in stock,new,59.90 EUR,,https://n1gloves.com/pt/inicio/20003-boneco-inflavel-n1-205-cm,https://n1gloves.com/15756-large_default/boneco-inflavel-n1-205-cm.jpg,N1 Goalkeeper,,AC-0021,11
21784,Luvas de Guarda-Redes Sirius 2.0 Black Neon UGT+ II,"O Sirius 2.0 chegou para redefinir a baliza. Com um design revolucionário e o novo tecido de alto desempenho  AirFlex Pro , esta luva estabelece um novo padrão de flexibilidade, conforto, ajuste e respirabilidade. Combina leveza e armado na perfeição, oferecendo o equilíbrio ideal. A arma definitiva para guarda-redes que exigem o melhor!",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/pt/inicio/21784-luvas-de-guarda-redes-sirius-20-black-neon-ugt-ii,https://n1gloves.com/17595-large_default/luvas-de-guarda-redes-sirius-20-black-neon-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRBLA-0436,73
21806,Luvas de Guarda-Redes Sirius 2.0 UGT+ II,"O Sirius 2.0 chegou para quebrar todos os esquemas. Com um design revolucionário e um novo tecido de alto desempenho, esta luva redefine o padrão de flexibilidade, ajuste e respirabilidade. A arma definitiva para guarda-redes que exigem o melhor!",in stock,new,69.90 EUR,55.92 EUR,https://n1gloves.com/pt/inicio/21806-luvas-de-guarda-redes-sirius-20-ugt-ii,https://n1gloves.com/17649-large_default/luvas-de-guarda-redes-sirius-20-ugt-ii.jpg,N1 Goalkeeper,,GL-SIRRED-0433,106
22521,Luvas de Guarda-Redes Scorpius 2.0 Green Eudes,"Descubra a evolução da luva de goleiro mais bem-sucedida, agora mais leve e ajustada como uma segunda pele. O Scorpius 2.0 UGT+ II apresenta um corte negativo e a palma de látex alemão 100% natural UGT+.",in stock,new,69.90 EUR,48.93 EUR,https://n1gloves.com/pt/inicio/22521-luvas-de-guarda-redes-scorpius-20-green-eudes,https://n1gloves.com/18407-large_default/luvas-de-guarda-redes-scorpius-20-green-eudes.jpg,N1 Goalkeeper,,GL-SCOGRE-0397,58
23693,Porta-luvas N1,"Mochila espaciosa, ligera y resistente para guardar tus guantes y material de entrenamiento.  
 Sistema de ajuste personalizable de cuerdas. 
  
 Composición: 100% Poliéster",in stock,new,19.90 EUR,,https://n1gloves.com/pt/inicio/23693-porta-luvas-n1-8435768021578,https://n1gloves.com/19644-large_default/porta-luvas-n1.jpg,N1 Goalkeeper,8435768021578,AC-0017,24
28485,Manguitos Protek,"Manguitos de compresión antiabrasión. 
 Muy resistentes a la abrasión, te protegerán de rozaduras y quemaduras en cualquier superficie.",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28485-manguitos-protek,https://n1gloves.com/24572-large_default/manguitos-protek.jpg,N1 Goalkeeper,,CL-MANBLA-0981,125
28489,Caneleira Compressiva PROTEK,"Caneleira integrada em manga compressiva com proteção contra impactos e resistência à abrasão. 
 Desenvolvida para oferecer segurança, estabilidade e conforto numa única peça. Combina uma estrutura compressiva com proteção estrategicamente posicionada na zona tibial, garantindo absorção de impactos e ajuste firme sem deslocamentos durante o jogo.",in stock,new,14.90 EUR,,https://n1gloves.com/pt/inicio/28489-caneleira-compressiva-protek,https://n1gloves.com/24583-large_default/caneleira-compressiva-protek.jpg,N1 Goalkeeper,,AC-SHIBLA-1027,63
28492,Caneleira N1 IMPACT,"Caneleira leve de alto impacto desenvolvida para oferecer máxima proteção sem comprometer a mobilidade. 
 A sua  carcaça exterior em polímero de alto impacto  trabalha em conjunto com uma  camada interna de espuma de absorção , amortecendo e dispersando a energia do choque e reduzindo o risco de lesões em impactos diretos ou entradas.",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28492-caneleira-n1-impact,https://n1gloves.com/24590-large_default/caneleira-n1-impact.jpg,N1 Goalkeeper,,AC-SHIWHI-1050,61
